Donor_Group	Recip_Group	Frag_Length	Gene	Recipient_strains
16b	6	744	glgX_1	ERR069685,ERR069798,ERR065971,ERR129168,ERR129172,ERR065969,ERR069779
16b	2	744	glgX_1	ERR129037,ERR067985
16b	16e	744	glgX_1	ERR067975
16b	16a	744	glgX_1	ERR129212,ERR069748,ERR069689,ERR129180,ERR068006,ERR069832,ERR069716,ERR069750,ERR069701,ERR067983,ERR067989
16b	13	744	glgX_1	ERR069709,ERR068001,ERR068005,ERR065353,ERR065953,ERR069710,ERR129027,ERR068004,ERR124223,ERR069734,ERR129092,ERR069759,ERR069827,ERR069741,ERR069788,ERR069784,ERR068043,ERR129115,ERR067979
16b	8	744	glgX_1	ERR068008,ERR069796,ERR069771,ERR129063,ERR129140,ERR069831,ERR124315,ERR069817,ERR129160,ERR129170,ERR129112,ERR068017,ERR124269,ERR069717,ERR129108,ERR129059,ERR129120,ERR129197,ERR069696,ERR129072,ERR067984,ERR069781,ERR069805,ERR129153,ERR069745,ERR129142,ERR124284,ERR129025,ERR129209,ERR129118,ERR129123,ERR124234,ERR065328,ERR069684,ERR069753,ERR069776,ERR069794,ERR124295,ERR068024,ERR065323,ERR124270
16b	7	581	nanA_1	ERR124312
9	15	347	nanA_1	ERR068003
13	11	80	group_199	ERR124316
16b	16c	383	group_2265	ERR065325,ERR065960,ERR069792,ERR068031,ERR065354,ERR069737,ERR129050,ERR129045,ERR069692,ERR069723,ERR065299,ERR069697,ERR069810
9	16c	221	rnmV	ERR069820,ERR129084
9	15	221	rnmV	ERR124222,ERR129075,ERR069706,ERR069843,ERR124255
6	1	62	group_1496	ERR069809
6	10	62	group_1496	ERR124310,ERR129111,ERR124217,ERR124266,ERR069757,ERR129145
16c	13	292	groL	ERR068005,ERR124223,ERR069759,ERR069741,ERR067979
16c	16b	292	groL	ERR069824,ERR129102,ERR069729,ERR069772,ERR069806,ERR129071,ERR069730,ERR069816,ERR065956
16c	8	292	groL	ERR068044,ERR067974,ERR129121,ERR129174,ERR129125
16c	16c	292	groL	ERR069773,ERR065325,ERR065960,ERR065302,ERR129040,ERR124218,ERR069737,ERR068039,ERR129050,ERR129045,ERR069722,ERR129124,ERR065299,ERR065321,ERR124258,ERR065349,ERR129110,ERR129188,ERR129056,ERR069775,ERR124306,ERR068022,ERR065312
16c	1	292	groL	ERR124256,ERR069809,ERR068048,ERR065350,ERR069731,ERR065347,ERR129201
16c	2	292	groL	ERR129037,ERR067985,ERR065326,ERR069713,ERR129127,ERR069727,ERR069752,ERR129214,ERR068046,ERR129215,ERR129159,ERR129154,ERR068040,ERR067986,ERR124291,ERR069822,ERR065310,ERR124302,ERR129210,ERR124296,ERR069801,ERR129080,ERR124268,ERR069760,ERR129131,ERR069804,ERR129068,ERR129079,ERR124246,ERR129139,ERR124240,ERR069707,ERR068047,ERR129178,ERR067968,ERR129177,ERR069839,ERR124242,ERR129137,ERR065308,ERR069702,ERR065964,ERR069837,ERR068000,ERR129093,ERR129211,ERR124298
16c	16g	292	groL	ERR124244,ERR068016,ERR129066,ERR065304,ERR065959,ERR067991,ERR129038,ERR124230
16c	11	292	groL	ERR129179,ERR124241,ERR124293,ERR069703,ERR129087,ERR067962,ERR129148,ERR069749,ERR124277,ERR129074,ERR065300,ERR065324,ERR065329,ERR129200,ERR068019,ERR129099,ERR124250,ERR124316,ERR129086,ERR069834,ERR069726,ERR129143,ERR124299,ERR068002,ERR124236,ERR068029,ERR124279,ERR129163,ERR129134,ERR065351,ERR067988,ERR129035,ERR124301,ERR069728,ERR124290,ERR129119,ERR124273,ERR129173,ERR069733,ERR129104,ERR067963,ERR067970,ERR067992,ERR124275,ERR129089,ERR068033
13	9	168	pepQ	ERR069777
12	12	351	nspC	ERR067993,ERR069803,ERR069841
12	16b	351	nspC	ERR129151,ERR069815
12	4	351	nspC	ERR069738,ERR129096,ERR124307,ERR129204,ERR124248,ERR069767,ERR124260,ERR129156,ERR069836,ERR067965,ERR069783
12	16c	351	nspC	ERR065325,ERR065960,ERR129187,ERR068014,ERR129094,ERR069792,ERR124271,ERR068031,ERR065354,ERR069737,ERR129050,ERR129206,ERR129041,ERR124289,ERR069692,ERR069723,ERR124309,ERR065299,ERR129184,ERR069697,ERR065318,ERR069810,ERR129047,ERR129095
12	16d	351	nspC	ERR069735,ERR069819,ERR069813,ERR069838
12	8	491	group_716	ERR129046,ERR129033
12	1	491	group_716	ERR069823,ERR124256,ERR069712,ERR069809,ERR068048,ERR067964,ERR069835,ERR065350,ERR069731
16c	16c	220	group_3788	ERR069792,ERR068031,ERR065354,ERR069692,ERR069723,ERR069697,ERR069810
2	2	31	group_3418	ERR129159,ERR124302,ERR068041,ERR065964,ERR129211,ERR124298
2	3	31	group_3418	ERR069698,ERR124274,ERR129061,ERR065320,ERR067978,ERR068032,ERR124272,ERR129060,ERR068049
2	13	31	group_3418	ERR067979
2	10	31	group_3418	ERR065309,ERR065316
2	16a	31	group_3418	ERR129212,ERR069814,ERR068007,ERR124257,ERR069748,ERR069689,ERR069789,ERR129180,ERR069832,ERR069701,ERR129185,ERR067989,ERR067972
2	16f	31	group_3418	ERR069840
2	5	31	group_3418	ERR129196,ERR129144
2	16b	31	group_3418	ERR065315,ERR129103
2	8	31	group_3418	ERR068008,ERR065287,ERR124229,ERR129140,ERR069687,ERR129160,ERR067974,ERR129108,ERR129059,ERR129120,ERR068045,ERR124220,ERR069745,ERR129142,ERR129175,ERR129034,ERR129121,ERR065975,ERR129125,ERR124313
2	16f	54	purF	ERR124226,ERR069769
12	1	367	group_62	ERR065967,ERR065344,ERR069755,ERR124231
12	10	100	lytB	ERR124310,ERR129048,ERR065309,ERR124305,ERR129111,ERR065316,ERR124217,ERR124266,ERR069757,ERR129145
12	16c	100	lytB	ERR129187,ERR129047
12	16a	100	lytB	ERR067983
12	16b	100	lytB	ERR129151,ERR069815
3	8	128	group_3267	ERR069761
16d	6	27	group_1713	ERR068030
8	4	144	group_699	ERR069738,ERR068037,ERR129096,ERR069686,ERR069688,ERR124307,ERR067996,ERR065343,ERR067995,ERR065338,ERR069767,ERR124260,ERR069778,ERR129156,ERR069836,ERR067965,ERR124318,ERR069783,ERR067987
9	16a	168	ffh	ERR124257,ERR129185,ERR067972
16b	5	539	ffh	ERR129105,ERR129195,ERR067998,ERR069714
9	16c	168	ffh	ERR129047
2	9	74	group_7436	ERR129065,ERR069826,ERR069780
2	16g	74	group_7436	ERR068016,ERR129066,ERR065304,ERR065959,ERR067991,ERR129038
2	16c	74	group_7436	ERR124218
2	8	74	group_7436	ERR129059
2	16a	74	group_7436	ERR129212,ERR069748,ERR069689,ERR129180,ERR068006,ERR069832,ERR069716,ERR069750,ERR069701
2	16b	74	group_7436	ERR069824,ERR129102,ERR069729,ERR069772,ERR069806,ERR129071
2	16e	74	group_7436	ERR067975
12	16f	23	group_3466	ERR124226,ERR129064,ERR069769
12	9	52	pyrF	ERR129065,ERR069826,ERR129107,ERR129155,ERR069780,ERR068027,ERR069802,ERR129106,ERR129116,ERR069830,ERR129147,ERR065345,ERR065311,ERR067967,ERR129161,ERR068015,ERR069807,ERR065346,ERR069743,ERR067980,ERR065955,ERR065322,ERR129208,ERR069694,ERR124245,ERR124238,ERR067973,ERR129141,ERR065348,ERR129122,ERR129100
12	16c	52	pyrF	ERR124247,ERR124271,ERR129041,ERR124289,ERR124309,ERR129184,ERR065318
5	16d	251	toxA	ERR069735
5	8	251	toxA	ERR069795,ERR065970,ERR129149,ERR069751,ERR069711,ERR067960,ERR129032,ERR068034,ERR069691,ERR069761,ERR065288,ERR129091
2	12	45	toxA	ERR069803,ERR069841
16d	4	96	comGA	ERR069738
16d	16c	96	comGA	ERR069764,ERR069792,ERR068031,ERR065354,ERR069820,ERR129084
16d	15	96	comGA	ERR124222,ERR129075,ERR069706,ERR069843,ERR124255
16d	9	96	comGA	ERR129065,ERR129029,ERR069826,ERR129107,ERR124287,ERR129155,ERR129146,ERR129052
16d	1	96	comGA	ERR069712
16d	16d	96	comGA	ERR069735,ERR069819
16d	16b	96	comGA	ERR129028
16d	12	96	comGA	ERR065974,ERR065341,ERR129130
16c	12	126	group_2350	ERR124278
16c	16a	168	group_2321	ERR129212
12	16c	131	group_2321	ERR069808
16c	16f	168	group_2321	ERR124226,ERR129064,ERR069769
12	16a	303	recD2	ERR129212
12	8	303	recD2	ERR065305
12	12	303	recD2	ERR067993,ERR069803
12	11	303	recD2	ERR129179,ERR124293
9	9	151	rsmC	ERR129029,ERR129052,ERR124219,ERR069800,ERR065966,ERR069790,ERR065355,ERR069736,ERR065331,ERR129171
9	2	268	clpX	ERR068000
9	16d	408	clpX	ERR065957
13	12	136	group_2269	ERR065974,ERR065341,ERR129130,ERR065965,ERR124278,ERR065289,ERR065296
12	12	86	clpC_2	ERR067993
16c	16c	312	group_4344	ERR069773,ERR065302,ERR129124,ERR065321,ERR129188,ERR069775
9	16b	48	group_3012	ERR069739
9	16g	48	group_3012	ERR124244
9	16f	48	group_3012	ERR069769
9	4	48	group_3012	ERR069738,ERR124260
15	16c	220	rsgA	ERR124247,ERR124271,ERR129041,ERR124289,ERR124309,ERR129184,ERR065318,ERR068009
15	14	220	rsgA	ERR069700,ERR067966,ERR067969,ERR124314,ERR069787,ERR069744,ERR069825,ERR129128,ERR069763,ERR069747,ERR124303,ERR065963
15	1	220	rsgA	ERR069712,ERR129051,ERR065968,ERR129132,ERR069690,ERR068018,ERR069768,ERR129090,ERR068020,ERR067977,ERR069715,ERR129113,ERR068013,ERR124304,ERR124282,ERR129058,ERR124237
15	5	220	rsgA	ERR129105,ERR129196,ERR129195,ERR065301,ERR065342,ERR129144,ERR067998,ERR124320,ERR069818,ERR069714,ERR129053,ERR068010,ERR129182,ERR069799
16d	1	19	rsgA	ERR069823,ERR067964,ERR069835,ERR069746,ERR069812,ERR065292,ERR065967,ERR065344,ERR065962,ERR069755,ERR069765,ERR124231,ERR069732,ERR065330,ERR069719,ERR069770,ERR069721,ERR069740
16a	16c	200	fieF	ERR069722,ERR065349,ERR068022
5	15	261	group_371	ERR124222,ERR129075,ERR069706,ERR069843,ERR124255,ERR065973,ERR069720,ERR068035,ERR129062,ERR124233,ERR069791,ERR068036,ERR069842,ERR129036,ERR069699,ERR069793,ERR129031,ERR129049,ERR067990,ERR069762,ERR067999,ERR129193
5	16c	261	group_371	ERR129181
14	16c	145	group_371	ERR065325,ERR065960,ERR069737,ERR129050,ERR065299
2	16c	161	group_1152	ERR069737,ERR069808
16h	16g	279	group_2615	ERR124244
16h	13	279	group_2615	ERR124223
16h	16f	279	group_2615	ERR124226
6	8	16	group_483	ERR124280
8	8	499	group_483	ERR069817,ERR124280
14	14	104	group_483	ERR129128
6	16c	32	group_483	ERR129181
15	12	38	group_483	ERR065974,ERR065341,ERR129130,ERR065965,ERR124278,ERR065289,ERR065296
8	1	499	group_483	ERR069823,ERR069835,ERR069746,ERR069812,ERR065292,ERR065967,ERR065344,ERR065962,ERR069755,ERR069765,ERR124231,ERR065330,ERR069719
15	8	50	group_483	ERR069776,ERR069794
16d	12	131	rsmE	ERR067993
16d	16c	131	rsmE	ERR129181
6	16g	107	group_172	ERR069742,ERR065294
6	2	378	group_172	ERR129214
8	2	120	group_172	ERR129214
8	2	113	group_172	ERR129214
6	16g	113	group_172	ERR069742,ERR065294,ERR065352
6	15	113	group_172	ERR124255
6	16d	943	group_172	ERR065957
6	4	107	group_172	ERR068037,ERR069686,ERR065343,ERR067995
6	16d	113	group_172	ERR065957
6	16g	378	group_172	ERR069742,ERR065294
6	16d	378	group_172	ERR065957
9	16d	1631	group_913	ERR069813
11	3	129	group_913	ERR129061
11	16b	71	group_4155	ERR129151,ERR069815
16c	8	35	group_110	ERR129186
16c	4	35	group_110	ERR069778
16c	11	35	group_110	ERR129134
16c	16b	35	group_110	ERR069824,ERR069729,ERR069772,ERR069806,ERR069730,ERR069816,ERR065956
16c	16c	35	group_110	ERR069764
2	16d	217	group_1682	ERR069819,ERR069782
12	5	152	group_1682	ERR069818,ERR069799
2	10	217	group_1682	ERR129203
2	16c	217	group_1682	ERR129110
9	16c	48	kstR2	ERR069773,ERR065302,ERR129040,ERR068039,ERR129124,ERR065321,ERR129188,ERR129056,ERR069775,ERR069808
16c	7	31	group_4085	ERR124228,ERR067961,ERR124292,ERR124312,ERR069718,ERR124224,ERR124243,ERR124276,ERR129067,ERR129073
6	15	343	pflB	ERR124222,ERR129075,ERR069706,ERR069843,ERR124255,ERR065973,ERR069720,ERR068003,ERR068035,ERR129062,ERR124233,ERR069791,ERR068036,ERR065314,ERR069842,ERR129036,ERR129078,ERR069699,ERR069793,ERR129031,ERR129049,ERR067990,ERR069762,ERR067999,ERR129193
9	16c	281	group_4198	ERR069820
11	16g	385	group_4198	ERR124244
9	16h	281	group_4198	ERR069785
9	16d	281	group_4198	ERR065295
9	1	281	group_4198	ERR069731,ERR065347,ERR129201
9	10	281	group_4198	ERR124310,ERR129048,ERR065309,ERR124305
9	9	281	group_4198	ERR124287,ERR129146,ERR129076,ERR129055
8	11	147	thiM_1	ERR129179
8	2	147	thiM_1	ERR065308,ERR129037,ERR067985,ERR129093
12	12	225	thiI	ERR067993,ERR069803,ERR069841
16b	4	348	yhjX	ERR068037,ERR129096,ERR069686,ERR069688,ERR124307,ERR129204,ERR067996,ERR065343,ERR067995,ERR124248,ERR065338,ERR069767,ERR069778,ERR129156,ERR069836,ERR067965,ERR124318,ERR069783,ERR067987
16b	16c	7	nudC	ERR068014,ERR129094,ERR129206,ERR129095
16b	9	47	nudC	ERR069826,ERR069780
16b	16c	47	nudC	ERR129047
16b	12	47	nudC	ERR065974,ERR065341,ERR129130,ERR065965,ERR067993,ERR124278,ERR069803,ERR065289,ERR069841,ERR065296
16c	12	62	nudC	ERR065974,ERR065341,ERR129130,ERR065965,ERR067993,ERR124278,ERR069803,ERR065289,ERR069841,ERR065296
16b	16b	47	nudC	ERR065315,ERR069739,ERR069695
16c	16c	62	nudC	ERR129047
16c	16b	62	nudC	ERR065315,ERR069739,ERR069695
16b	16b	7	nudC	ERR129102,ERR129071
16c	9	62	nudC	ERR069826,ERR069780
16c	8	62	nudC	ERR129081
16g	16a	7	thiN	ERR129212,ERR069748,ERR069689,ERR129180,ERR068006,ERR069832,ERR069716,ERR069750,ERR069701,ERR067983,ERR067989
8	6	1965	group_1650	ERR129168,ERR124227
6	6	262	leuA_1	ERR129176,ERR124319,ERR129117,ERR129213,ERR129042,ERR124235,ERR129157,ERR124288,ERR069708
6	13	262	leuA_1	ERR069709,ERR068001,ERR065353,ERR065953,ERR069710,ERR068004
5	4	345	leuA_1	ERR069738,ERR068037,ERR129096,ERR069686,ERR069688,ERR124307
11	16g	33	metE	ERR124244
16f	16c	205	metE	ERR069773,ERR065302,ERR129040,ERR068039,ERR129124,ERR065321,ERR129188,ERR129056,ERR069775
11	14	33	metE	ERR069825
13	16a	26	group_413	ERR129212,ERR067983,ERR067989
4	1	1383	mngB	ERR124256,ERR069809,ERR068048,ERR065350,ERR069731,ERR065347,ERR129201
4	10	1383	mngB	ERR124310
10	16c	1055	mngB	ERR065325,ERR065960,ERR129050
10	16h	1055	mngB	ERR124252
4	16g	1383	mngB	ERR068016
4	9	1383	mngB	ERR129107,ERR068027,ERR129106,ERR129116,ERR065311,ERR067967,ERR129161,ERR068015,ERR067980,ERR065955,ERR065322,ERR129208,ERR069694,ERR124245,ERR124238,ERR067973,ERR129141,ERR065348,ERR129122,ERR129100
4	2	1383	mngB	ERR068041
4	14	1383	mngB	ERR069700,ERR067966,ERR067969,ERR124314,ERR069744,ERR124303,ERR065963
4	16b	1383	mngB	ERR069824,ERR069729,ERR069730,ERR065956
6	10	1400	group_369	ERR069757
12	12	76	group_3690	ERR067993,ERR069841
2	8	658	group_56	ERR068034
16c	7	251	group_3069	ERR067961,ERR124292,ERR124312,ERR069718,ERR124224,ERR124243,ERR124276,ERR129067,ERR129073
11	2	27	group_4445	ERR069702
11	16a	27	group_4445	ERR129212,ERR069748,ERR069689,ERR129180,ERR068006,ERR069832,ERR069716,ERR069750,ERR069701,ERR067983,ERR067989
11	9	27	group_4445	ERR129107,ERR129155,ERR068027,ERR069802,ERR129106,ERR129116,ERR129147,ERR065345,ERR065311,ERR067967,ERR129161,ERR068015,ERR069777,ERR065346,ERR065955,ERR065322,ERR129208,ERR124245,ERR065339,ERR124238,ERR067973,ERR129141,ERR065348,ERR129122,ERR129100
11	6	27	group_4445	ERR129176,ERR129117,ERR129213,ERR129042,ERR124235,ERR129157,ERR069708,ERR129167,ERR124308,ERR065303,ERR068023
6	16b	258	uvrB	ERR124311,ERR129057,ERR129135
6	16c	258	uvrB	ERR129110
9	16g	396	ponA	ERR124244
12	5	153	ponA	ERR065301,ERR065342
16b	16g	14	group_7457	ERR124244
13	6	86	group_7457	ERR068030
13	16f	86	group_7457	ERR069840
16c	6	99	group_1206	ERR069685,ERR069798,ERR065971,ERR129168,ERR068030,ERR069693
16c	9	99	group_1206	ERR069807
16c	12	99	group_1206	ERR067993,ERR069803
16b	9	100	group_1206	ERR069807
3	16c	29	group_1206	ERR129181
16c	16b	99	group_1206	ERR124311,ERR129057
16b	6	100	group_1206	ERR068030,ERR069693
16c	16c	99	group_1206	ERR069773,ERR065302,ERR129040,ERR068039,ERR129124
1	7	20	group_1206	ERR069718,ERR124224,ERR124243,ERR124276,ERR129067,ERR129073
12	8	107	group_1611	ERR069805,ERR124251
12	16c	107	group_1611	ERR069697
6	16b	271	group_1521	ERR129028,ERR129083,ERR129216,ERR129136,ERR129202,ERR129138,ERR129030
6	16c	271	group_1521	ERR069773,ERR065302,ERR129040,ERR129124,ERR065321,ERR129188,ERR129056,ERR069775
10	16g	577	trmFO	ERR068016,ERR129066,ERR065304,ERR065959,ERR067991,ERR129038,ERR124230
10	4	577	trmFO	ERR069738
10	13	577	trmFO	ERR069709,ERR068001,ERR069710,ERR069734,ERR129092,ERR069827,ERR069788,ERR068043
10	14	577	trmFO	ERR069700
16b	13	154	sulA	ERR068005,ERR069759
16b	12	154	sulA	ERR065974,ERR065341
16b	16c	154	sulA	ERR069773,ERR065302,ERR129040,ERR069792,ERR129044,ERR068031,ERR124218,ERR065354,ERR069820,ERR068039,ERR069692,ERR069723
8	16h	249	sulA	ERR067982
16b	16b	154	sulA	ERR069824,ERR069729,ERR069772
16b	6	154	sulA	ERR069786,ERR069685,ERR069798,ERR065971
1	3	11	sulA	ERR129026,ERR068026,ERR129198,ERR068028
1	16a	11	sulA	ERR124257,ERR129185,ERR067972
16b	8	233	sulA	ERR124284,ERR129118,ERR069753
8	16b	249	sulA	ERR069695
16b	10	154	sulA	ERR129048,ERR065309,ERR129111,ERR124253
16b	3	154	sulA	ERR069725,ERR069698,ERR124283,ERR065293,ERR124221,ERR065297,ERR069724,ERR068042,ERR124249
16f	2	249	sulA	ERR069839,ERR068000
16b	16g	154	sulA	ERR124244,ERR069742
1	16b	193	sulA	ERR129102,ERR129071
15	15	144	sulA	ERR069699
10	16c	125	topA	ERR069764,ERR069722,ERR065349,ERR068022
10	16g	125	topA	ERR069742,ERR065352
10	13	125	topA	ERR069709,ERR068001,ERR068005,ERR065353,ERR065953,ERR069710,ERR129027,ERR068004,ERR124223,ERR069734,ERR129092,ERR069759,ERR069827,ERR069741,ERR069788,ERR069784,ERR068043,ERR129115,ERR067979
10	16g	20	topA	ERR069742,ERR065352
10	8	125	topA	ERR069761
16e	8	76	group_5259	ERR129120,ERR129142
16e	16d	76	group_5259	ERR069819,ERR069838
10	16e	1134	group_896	ERR067975
16f	16c	587	group_896	ERR069737
10	9	1134	group_896	ERR124287,ERR129146,ERR129076,ERR067976,ERR065307,ERR065313,ERR129082,ERR129205,ERR129098,ERR129133
10	16h	1134	group_896	ERR069785,ERR129162,ERR065958,ERR069797,ERR069821
10	16c	1134	group_896	ERR065325,ERR065960,ERR129050,ERR065299
13	16c	29	btuD_6	ERR124247,ERR129187,ERR129047
13	6	21	btuD_6	ERR069798,ERR065971,ERR129168
13	4	21	btuD_6	ERR067995,ERR065338
1	4	53	group_525	ERR129204,ERR067996
1	16h	53	group_525	ERR124252,ERR067982
16c	10	213	group_2135	ERR129203
16c	16b	302	lcnD_2	ERR129102,ERR129071,ERR065956
16c	16b	367	lcnD_2	ERR065956
16c	2	302	lcnD_2	ERR124246
16c	9	83	phnU	ERR069777,ERR065339
16c	16e	83	phnU	ERR067975
8	1	186	phnU	ERR069712,ERR129051,ERR065968,ERR129132,ERR069690,ERR068018,ERR069768,ERR129090,ERR068020,ERR067977,ERR069715,ERR124265,ERR129113,ERR068013,ERR124304,ERR124282,ERR129058,ERR124237
10	16c	94	group_2844	ERR129187,ERR129047
10	16d	94	group_2844	ERR069838
10	16f	94	group_2844	ERR124226,ERR129064,ERR069769
16c	9	353	lacE_2	ERR129065
16c	16c	353	lacE_2	ERR124247,ERR129187,ERR124271,ERR069820,ERR129041,ERR124289,ERR124309,ERR069722,ERR129184,ERR065318,ERR065349,ERR069810,ERR129084,ERR068022,ERR129047
16c	16h	356	lacE_2	ERR069785,ERR069797
16c	6	356	lacE_2	ERR124235
16c	5	356	lacE_2	ERR129105,ERR129196,ERR129195,ERR065301,ERR065342,ERR129144,ERR129077,ERR067998,ERR124320,ERR069818,ERR069714,ERR129053,ERR068010,ERR129182,ERR069799
16c	16h	356	lacE_2	ERR129162,ERR124252,ERR067982,ERR065958
16c	16c	356	lacE_2	ERR129045
16c	16d	353	lacE_2	ERR065295
16b	3	106	lacE_2	ERR065332,ERR069725,ERR129026,ERR069698,ERR124274,ERR124283,ERR065293,ERR124221,ERR068026,ERR065297,ERR129061,ERR065320,ERR069724,ERR068042,ERR124249,ERR129198,ERR067978,ERR068032,ERR124239,ERR068028,ERR124272,ERR124300,ERR129054,ERR129060,ERR068049
16c	14	353	lacE_2	ERR069700,ERR069825
16c	6	356	lacE_2	ERR129043
16c	6	353	lacE_2	ERR069786,ERR069685,ERR069798,ERR065971,ERR129168,ERR129172,ERR068030,ERR065969,ERR069693,ERR069779
16b	16b	301	purH	ERR065315,ERR069739,ERR069695
9	16c	83	purH	ERR129045
16b	16c	301	purH	ERR065325,ERR065960,ERR069792,ERR068031,ERR065354,ERR129050,ERR069692,ERR069723,ERR065299,ERR069697,ERR069810
16b	16h	301	purH	ERR124252,ERR067982
8	8	23	group_605	ERR069805,ERR065323
16b	16c	144	proC	ERR129181
1	6	62	cheB	ERR069685,ERR069798,ERR065971,ERR129168,ERR129172,ERR065969,ERR069693
12	8	621	cheB	ERR124263
11	16b	445	group_581	ERR129102,ERR129071
14	6	27	murF_1	ERR068030
14	16c	131	murF_1	ERR129045
2	6	40	fpgS_1	ERR124319,ERR124288,ERR124294,ERR124297,ERR124286
16a	10	209	fpgS_1	ERR065309,ERR129111,ERR124253,ERR065316,ERR124217,ERR069757
16a	16d	209	fpgS_1	ERR069838
16c	16d	8	fpgS_1	ERR069819,ERR065295
16a	16b	209	fpgS_1	ERR129028,ERR129083,ERR129216,ERR129136,ERR129202,ERR129138,ERR129103,ERR129030
16a	4	209	fpgS_1	ERR069738,ERR068037,ERR129096,ERR069686,ERR069688,ERR124307,ERR129204,ERR067996,ERR065343,ERR067995,ERR124248,ERR065338,ERR069767,ERR124260,ERR069778,ERR129156,ERR069836,ERR067965,ERR124318,ERR069783,ERR067987
2	16f	40	fpgS_1	ERR069840
16a	9	209	fpgS_1	ERR129065,ERR069826,ERR129107,ERR069780,ERR068027,ERR129106,ERR129116,ERR069830,ERR065311,ERR067967,ERR129161,ERR068015,ERR069777,ERR069807,ERR069743,ERR067980,ERR065955,ERR065322,ERR129208,ERR069694,ERR124245,ERR065339,ERR124238,ERR067973,ERR129141,ERR065348,ERR129122,ERR129100
16h	16c	84	trkA	ERR069773,ERR065302,ERR129040,ERR068039,ERR129124,ERR065321,ERR129188,ERR129056,ERR069775
16h	8	2	trkA	ERR069758
8	16b	78	group_2720	ERR065315,ERR069739
8	16f	78	group_2720	ERR069840
15	16b	126	group_2720	ERR129102,ERR129071
8	16a	78	group_2720	ERR069814,ERR068007
16c	10	604	yhgF	ERR124310,ERR129048,ERR065309,ERR124305,ERR129111,ERR124253,ERR065316,ERR124217,ERR124266,ERR069757,ERR129145
16c	8	604	yhgF	ERR065288
16c	16c	604	yhgF	ERR124247,ERR124271,ERR129041,ERR124289,ERR124309,ERR129184,ERR065318
13	16g	92	group_1935	ERR068016,ERR065304,ERR065959,ERR067991,ERR124230
13	6	92	group_1935	ERR068030
16c	13	793	iga	ERR069709,ERR068001,ERR068005,ERR065353
13	16c	2328	iga	ERR124247,ERR124289
2	16c	1148	iga	ERR069792,ERR129181,ERR069692
15	16c	1988	iga	ERR129044,ERR129181,ERR129194
16c	16c	461	iga	ERR069792,ERR068031,ERR065354,ERR069810
13	15	2328	iga	ERR124222,ERR129075,ERR069706,ERR068035,ERR129078,ERR069699,ERR069793,ERR129031,ERR129049,ERR067990
16c	16c	723	iga	ERR124247
16c	1	549	iga	ERR069809,ERR129201
15	16b	1988	iga	ERR129028,ERR129083,ERR129216,ERR129136,ERR129202,ERR129138,ERR129103,ERR129030
2	16b	1148	iga	ERR129028,ERR129083,ERR129216,ERR129136,ERR129202,ERR129138,ERR129103,ERR129030
16c	15	723	iga	ERR124222,ERR129075,ERR069706,ERR069720,ERR068003,ERR068035,ERR129062,ERR124233,ERR069791,ERR068036,ERR065314,ERR069842,ERR129036,ERR129078,ERR069699,ERR069793,ERR129031,ERR129049,ERR067990,ERR069762,ERR067999,ERR129193
16c	16b	461	iga	ERR069739
13	1	2328	iga	ERR124256,ERR129199
16c	16c	793	iga	ERR069792,ERR129044,ERR069820,ERR129084
14	16c	56	pepA_2	ERR069722,ERR129044,ERR129194
4	12	392	pepA_2	ERR065974,ERR065341,ERR129130,ERR065965,ERR067993,ERR124278,ERR069803,ERR065289,ERR069841,ERR065296
4	16c	392	pepA_2	ERR069773,ERR065302,ERR129040,ERR068039,ERR129181,ERR129124,ERR065321,ERR068009,ERR129188,ERR129056,ERR069775
4	16g	392	pepA_2	ERR124244
13	16c	12	pepA_2	ERR069722,ERR065349,ERR068022
4	16b	392	pepA_2	ERR069824,ERR069729,ERR069772,ERR069806,ERR069730,ERR069816,ERR065956
2	16b	112	pepA_2	ERR129102,ERR129071
16c	16c	228	pepA_2	ERR069764,ERR129044,ERR124218,ERR069820,ERR129181,ERR124258,ERR124306,ERR129084,ERR069808
14	16b	267	pepA_2	ERR124311,ERR129057,ERR065290,ERR129135
13	6	96	pepA_2	ERR129176,ERR129117,ERR129213,ERR129157
4	1	392	pepA_2	ERR124285
14	16c	19	pepA_2	ERR124218,ERR124258,ERR124306,ERR065312
14	16c	267	pepA_2	ERR069764,ERR129044
4	16a	392	pepA_2	ERR129212,ERR069748,ERR069689,ERR129180,ERR068006,ERR069832,ERR069716,ERR069750,ERR069701,ERR067983,ERR067989
14	16b	56	pepA_2	ERR129102
16c	5	228	pepA_2	ERR129077
13	16f	12	pepA_2	ERR069840
6	16c	134	group_98	ERR129181
2	16b	27	gpmA_1	ERR129028,ERR129083,ERR129216,ERR129136,ERR129202,ERR129138,ERR129103,ERR129030
12	3	56	def_2	ERR065332
12	13	56	def_2	ERR068005,ERR069759,ERR069741,ERR067979
